#band: central wavelength of the passband of the observation in nm
#mjd: time of the observation as modified julian date in days
#fluxcal: simulated observed flux (from SNANA)
#fluxcalerr: error of fluxcal
#processing: which processing was done to get the datapoint
band,mjd,fluxcal,fluxcalerr,processing
473,56610.651545454544,12.97075845448615,10.728992717188675,gp
473,56611.479999999996,12.634611255478454,11.100754051457598,gp
473,56612.308454545455,12.382751990408936,11.35899682447633,gp
473,56613.13690909091,12.208518936754796,11.502170360836951,gp
473,56613.965363636366,12.105671107292356,11.529616402710323,gp
473,56614.79381818182,12.068341530992647,11.44150088422144,gp
473,56615.62227272727,12.090992377063985,11.238807058867817,gp
473,56616.45072727273,12.168371658639934,10.923386899167559,gp
473,56617.27918181818,12.295471259959509,10.498075950249147,gp
473,56618.10763636363,12.467486036888364,9.966886464333985,gp
473,56618.93609090909,12.679773745305443,9.335308154255427,gp
473,56619.76454545454,12.92781555525476,8.610771476688823,gp
473,56620.593,13.207176910845286,7.803378049449364,gp
473,56621.42145454545,13.51346849668493,6.9271063658011345,gp
473,56622.249909090904,13.84230707115177,6.001928331370195,gp
473,56623.07836363636,14.189275925073495,5.0577811662109,gp
473,56623.906818181815,14.54988472120485,4.142380243183658,gp
473,56624.735272727274,14.919528465747478,3.335810290900737,gp
473,56625.563727272725,15.293176000752968,2.7621966780867635,gp
473,56626.39218181818,15.658932554187473,2.4730782451892175,gp
473,56627.220636363636,15.997672110365642,2.4496192137307244,gp
473,56628.04909090909,16.289485915389488,2.76009977352989,gp
473,56628.87754545455,16.518774141132553,3.4565525314457823,gp
473,56629.706,16.688772298450534,4.392907718035251,gp
473,56630.53445454545,16.806844526374288,5.435225615113716,gp
473,56631.36290909091,16.879681520417616,6.5099917080513725,gp
473,56632.19136363636,16.913351696804572,7.576022214624426,gp
473,56633.01981818182,16.91334813581545,8.608225122962427,gp
473,56633.84827272727,16.884631580928446,9.59010555831644,gp
473,56634.67672727272,16.83166974828937,10.51019931560131,gp
473,56635.50518181818,16.75847318010799,11.36022702191065,gp
473,56636.33363636363,16.66862785597638,12.134049862363545,gp
473,56637.16209090909,16.565324757530192,12.827029704458475,gp
473,56637.990545454544,16.451386564487404,13.435610172947351,gp
473,56638.818999999996,16.329291643457395,13.957027778750916,gp
473,56639.647454545455,16.201195475337293,14.389104992141746,gp
473,56640.47590909091,16.068949652191556,14.730098267501674,gp
473,56641.304363636365,15.934118560253417,14.978585133848803,gp
473,56642.13281818182,15.797993852270618,15.133380696698017,gp
473,56642.96127272727,15.661606799216276,15.193477657494592,gp
473,56643.78972727273,15.525738599058508,15.158006450228791,gp
473,56644.61818181818,15.390928708028746,15.026213990603486,gp
473,56645.44663636363,15.257481248145057,14.797461272655118,gp
473,56646.27509090909,15.125469533343653,14.471242028819805,gp
473,56647.10354545454,14.99473874525206,14.047227396439855,gp
473,56647.932,14.864906778690479,13.525345834257289,gp
473,56648.76045454545,14.735363266030785,12.905914961808806,gp
473,56649.588909090904,14.605266778647945,12.189855716868387,gp
473,56650.41736363636,14.473540192926233,11.379046070515862,gp
473,56651.245818181815,14.338864197251718,10.476927075909616,gp
473,56652.07427272727,14.199668905482406,9.48959579315166,gp
473,56652.902727272725,14.054123531139398,8.42790308839874,gp
473,56653.73118181818,13.900124065141693,7.311771874200633,gp
473,56654.559636363636,13.735278888181249,6.179716728978576,gp
473,56655.38809090909,13.556892236757713,5.110619471244211,gp
473,56656.21654545455,13.361945429399292,4.268361492255862,gp
473,56657.045,13.147075746622221,3.9376283337589872,gp
784,56575.032,127.99498524341652,5.2425498086427185,gp
784,56576.04254545455,134.09288108419275,5.054115180561176,gp
784,56577.05309090909,140.31474475309278,5.652752526196716,gp
784,56578.06363636364,146.50473787681926,6.556684149811502,gp
784,56579.07418181818,152.50626861025694,7.587629975749145,gp
784,56580.084727272726,158.18410899284333,8.711339109284255,gp
784,56581.095272727274,163.47494397093828,9.812896818495469,gp
784,56582.105818181815,168.3280745840326,10.790352336725414,gp
784,56583.11636363636,172.69022506989654,11.575967065316533,gp
784,56584.12690909091,176.5052962814126,12.126780476112359,gp
784,56585.13745454545,179.71410937045562,12.418407183551558,gp
784,56586.148,182.25413890655182,12.441713051791218,gp
784,56587.15854545454,184.05923456659752,12.201589256576584,gp
784,56588.16909090909,185.05933050033525,11.71741416265889,gp
784,56589.17963636364,185.18014143817084,11.02515012200897,gp
784,56590.19018181818,184.3430022685966,10.181141098098381,gp
784,56591.20072727273,182.52434680380895,9.258149082552656,gp
784,56592.21127272727,179.84569978250045,8.340553594012052,gp
784,56593.22181818182,176.44722032277923,7.557665175064114,gp
784,56594.232363636365,172.4652103022729,7.080672574653974,gp
784,56595.242909090906,168.02929421045985,6.964792335488115,gp
784,56596.253454545455,163.25876957823482,6.997839231250472,gp
784,56597.264,158.26973929853477,6.971809016328045,gp
784,56598.274545454544,153.17665597201017,6.7657972864396925,gp
784,56599.28509090909,148.09282740899062,6.35030200535783,gp
784,56600.29563636363,143.1309177618882,5.790646037976052,gp
784,56601.30618181818,138.40344589832034,5.268325435627818,gp
784,56602.31672727273,134.02232843293677,5.079933746757221,gp
784,56603.32727272727,130.0150211617647,5.3289499987372535,gp
784,56604.33781818182,126.2584371237433,5.7228054907419095,gp
784,56605.34836363636,122.61439077447585,6.0217045012366786,gp
784,56606.35890909091,118.94460899309024,6.125299670631805,gp
784,56607.36945454546,115.11016347937425,6.050822138883621,gp
784,56608.38,110.97090049918575,5.919453184222379,gp
784,56609.390545454546,106.38759321230032,5.934007722824626,gp
784,56610.401090909094,101.3715541594072,6.1695975205274625,gp
784,56611.411636363635,96.16282771032411,6.476948878882493,gp
784,56612.42218181818,91.01937689115061,6.752304766442347,gp
784,56613.432727272724,86.19901173365429,6.990208898819126,gp
784,56614.44327272727,81.96050077844347,7.277502412165311,gp
784,56615.45381818182,78.56165741766176,7.756996909513966,gp
784,56616.46436363636,76.11620465550095,8.454047973355705,gp
784,56617.47490909091,74.53113280651633,9.214277108005277,gp
784,56618.48545454545,73.7005700074186,9.896382367503675,gp
784,56619.496,73.5214980393364,10.399219475650607,gp
784,56620.50654545455,73.89332104513483,10.656347315238111,gp
784,56621.51709090909,74.71744157111596,10.62860161726072,gp
784,56622.52763636364,75.89684259137289,10.29992598804715,gp
784,56623.538181818185,77.3356741893308,9.677755871824456,gp
784,56624.548727272726,78.93884358377727,8.800025193623178,gp
784,56625.559272727274,80.61160719560769,7.754678409876226,gp
784,56626.569818181815,82.25916345627138,6.723892736751283,gp
784,56627.58036363636,83.78624506150618,6.052450089852206,gp
784,56628.59090909091,85.09943744717634,6.191721620994434,gp
784,56629.60145454545,86.15799446248741,7.135079059056129,gp
784,56630.612,86.96917195830474,8.45866645029299,gp
784,56631.62254545455,87.54062585724432,9.848210807139314,gp
784,56632.63309090909,87.87861223491836,11.132143686176946,gp
784,56633.64363636364,87.98801118851975,12.21896063348018,gp
784,56634.65418181818,87.87234593611265,13.058155218722247,gp
784,56635.66472727273,87.53379720547775,13.622046609220714,gp
784,56636.675272727276,86.97321295756103,13.897594072698919,gp
784,56637.68581818182,86.19011347589822,13.882775084202361,gp
784,56638.696363636365,85.18269183965629,13.585276615748135,gp
784,56639.706909090906,83.94780978450774,13.02264847263353,gp
784,56640.717454545455,82.48098894184693,12.223733263920028,gp
784,56641.728,80.77639743344366,11.231594230737459,gp
784,56642.738545454544,78.82683178469318,10.10842951333134,gp
784,56643.74909090909,76.62369410632272,8.942703547333833,gp
784,56644.75963636364,74.1569644802222,7.856005855967081,gp
784,56645.77018181818,71.4217496279586,6.985355152452309,gp
784,56646.78072727273,68.49693979020694,6.315945183204922,gp
784,56647.79127272727,65.51974630280122,5.747805245616725,gp
784,56648.80181818182,62.62806458031332,5.272864118740556,gp
784,56649.81236363637,59.95985906958094,5.023944978783334,gp
784,56650.82290909091,57.6397781488518,5.1857143108235295,gp
784,56651.833454545456,55.67666070177489,5.596762797198061,gp
784,56652.844,54.022290827096896,5.98175912674127,gp
784,56653.854545454546,52.629081303687144,6.20470696655539,gp
784,56654.865090909094,51.45030684841869,6.268227033557038,gp
784,56655.875636363635,50.43991303276903,6.308537373312953,gp
784,56656.88618181818,49.55232707638076,6.586840985477438,gp
784,56657.89672727273,48.746140214687756,7.359366935099178,gp
784,56658.90727272727,48.005437191368614,8.53308050315144,gp
784,56659.91781818182,47.324576905834036,9.885731252589732,gp
784,56660.92836363636,46.69798499355852,11.251360726012493,gp
784,56661.93890909091,46.120105299093225,12.520353999097724,gp
784,56662.94945454546,45.58537920857803,13.620754071510484,gp
784,56663.96,45.088224754703276,14.504438343629202,gp
784,56664.97054545455,44.6230154307689,15.139224782096267,gp
784,56665.98109090909,44.184058649208794,15.504793017339306,gp
784,56666.99163636364,43.76557377867725,15.590986504101574,gp
784,56668.002181818185,43.361669692401534,15.397904446335405,gp
784,56669.012727272726,42.966321758730686,14.937852059174926,gp
784,56670.023272727274,42.57334820294599,14.239882710681696,gp
784,56671.03381818182,42.1763857674693,13.35853090137758,gp
784,56672.04436363636,41.76886459513956,12.389255811552319,gp
784,56673.05490909091,41.343982257956384,11.492087515078165,gp
784,56674.06545454545,40.89467685088357,10.913741387123254,gp
784,56675.076,40.413599067358646,10.964996385586526,gp
642,56575.03,72.8613192000927,4.015212861199085,gp
642,56576.04054545455,74.99284635849203,3.897748834398322,gp
642,56577.05109090909,77.20591359498847,4.211672987041058,gp
642,56578.061636363636,79.5353192378786,4.740799169035324,gp
642,56579.07218181818,82.01602342518616,5.348504894852722,gp
642,56580.082727272726,84.66235828054681,5.966846070132819,gp
642,56581.093272727274,87.42118073905041,6.534594851794872,gp
642,56582.103818181815,90.22576532662599,7.009176865122583,gp
642,56583.11436363636,93.00926375780313,7.364835529805863,gp
642,56584.12490909091,95.70445243758368,7.586968126943756,gp
642,56585.13545454545,98.24347866782621,7.669101234295019,gp
642,56586.146,100.55760485673295,7.611464950765817,gp
642,56587.15654545454,102.5769500257231,7.420588602153634,gp
642,56588.16709090909,104.23022790054699,7.109670318849996,gp
642,56589.17763636364,105.44448086492801,6.699657466482996,gp
642,56590.18818181818,106.14485408087884,6.220994227818609,gp
642,56591.19872727273,106.27139972034809,5.711594605158276,gp
642,56592.20927272727,105.80458244649698,5.213678017023324,gp
642,56593.21981818182,104.72894729842042,4.786572575989619,gp
642,56594.230363636365,103.02666293952032,4.503986406236919,gp
642,56595.240909090906,100.71719054860812,4.390219144654787,gp
642,56596.251454545454,97.9064522390414,4.35764572944883,gp
642,56597.262,94.71024423033046,4.317105460835649,gp
642,56598.27254545454,91.24263626405771,4.213920624879774,gp
642,56599.28309090909,87.61639720520999,4.034221006839359,gp
642,56600.29363636363,83.94341680943447,3.8076938995671874,gp
642,56601.30418181818,80.33512481596816,3.6117379712784143,gp
642,56602.31472727273,76.90248026032158,3.5631344485646417,gp
642,56603.32527272727,73.7185293449676,3.7079692541661,gp
642,56604.33581818182,70.78896458044066,3.9494542986326615,gp
642,56605.34636363636,68.11316847148512,4.20186766750444,gp
642,56606.35690909091,65.69121255143529,4.427197481108078,gp
642,56607.367454545456,63.523866498068124,4.632860258601904,gp
642,56608.378,61.61260894884602,4.862522583742347,gp
642,56609.388545454545,59.959354436060856,5.180541187342326,gp
642,56610.39909090909,58.55073791317226,5.607364798729126,gp
642,56611.409636363634,57.34988973160183,6.0909317852810725,gp
642,56612.42018181818,56.31849316255958,6.580704728858828,gp
642,56613.430727272724,55.41865820712728,7.039684431885884,gp
642,56614.44127272727,54.61278715292319,7.443787559527914,gp
642,56615.45181818182,53.86364857500803,7.77883485794338,gp
642,56616.46236363636,53.144144461407414,8.030569846392615,gp
642,56617.47290909091,52.44154737299492,8.179976643832072,gp
642,56618.48345454545,51.74412438215843,8.212477607331945,gp
642,56619.494,51.03998783764342,8.118688046539178,gp
642,56620.50454545455,50.31705442132747,7.894424615474743,gp
642,56621.51509090909,49.563003515242116,7.540997315969064,gp
642,56622.525636363636,48.76523476748918,7.066044192468491,gp
642,56623.536181818185,47.9108247433317,6.485317418043605,gp
642,56624.546727272726,46.986482545530606,5.8261825004215435,gp
642,56625.557272727274,45.97850428504695,5.134164912959919,gp
642,56626.567818181815,44.87272628078254,4.483930476959391,gp
642,56627.57836363636,43.6544768630085,3.9908057510731396,gp
642,56628.58890909091,42.310208772891464,3.79091868179633,gp
642,56629.59945454545,40.85903260922734,3.8765889320709794,gp
642,56630.61,39.350023382414065,4.103110689692257,gp
642,56631.62054545455,37.833037996457676,4.356116402808463,gp
642,56632.63109090909,36.35777411136452,4.5822080672570795,gp
642,56633.64163636364,34.97395598033482,4.779132321706309,gp
642,56634.65218181818,33.73152024562783,4.98027993757061,gp
642,56635.66272727273,32.6789444080318,5.234419717108813,gp
642,56636.673272727276,31.832247019422617,5.534770759707426,gp
642,56637.68381818182,31.179681616387054,5.825959090038573,gp
642,56638.694363636365,30.70917763892938,6.060942798149356,gp
642,56639.704909090906,30.40922374271548,6.206463592907317,gp
642,56640.715454545454,30.26882747399043,6.242662149446632,gp
642,56641.726,30.277476267984486,6.16184011684799,gp
642,56642.73654545454,30.42509966527029,5.967677774888938,gp
642,56643.74709090909,30.702032643416494,5.675195037074054,gp
642,56644.75763636364,31.09897996383443,5.311201364440603,gp
642,56645.76818181818,31.605848848657025,4.911901904850303,gp
642,56646.77872727273,32.19817340216195,4.494536225130195,gp
642,56647.78927272727,32.841465050287,4.073309796191355,gp
642,56648.79981818182,33.501105763886216,3.6940510690474184,gp
642,56649.81036363637,34.14242831251315,3.443231149998052,gp
642,56650.82090909091,34.73347564674698,3.4107742621241526,gp
642,56651.831454545456,35.26616287427953,3.532266086130723,gp
642,56652.842,35.74412052031779,3.6823729972790935,gp
642,56653.852545454545,36.17075143725169,3.787985055355123,gp
642,56654.86309090909,36.54915344280329,3.8363700676528185,gp
642,56655.873636363634,36.882129179040206,3.8693484460094365,gp
642,56656.88418181818,37.17219505709427,3.973022867616091,gp
642,56657.89472727273,37.4224208731645,4.232317210820383,gp
642,56658.90527272727,37.64104245121957,4.604902160845409,gp
642,56659.91581818182,37.83823853657142,5.003230179384897,gp
642,56660.92636363636,38.02399124392266,5.363067087536269,gp
642,56661.93690909091,38.20811583219388,5.6469814604579724,gp
642,56662.94745454546,38.40029580099946,5.8407339829259195,gp
642,56663.958,38.61011751316899,5.950355320410736,gp
642,56664.96854545455,38.84710443716989,6.00105311072072,gp
642,56665.97909090909,39.1207511023111,6.036622216658059,gp
642,56666.989636363636,39.440556858794196,6.116417955736452,gp
642,56668.000181818185,39.81229701666534,6.293929057552234,gp
642,56669.010727272725,40.22313286539187,6.558696466541578,gp
642,56670.021272727274,40.654456593594894,6.884286016495144,gp
642,56671.03181818182,41.087600092009346,7.2567723372301245,gp
642,56672.04236363636,41.503767331453204,7.678680286253545,gp
642,56673.05290909091,41.883964543117116,8.168462518166086,gp
642,56674.06345454545,42.208929735553866,8.756850885039144,gp
642,56675.074,42.4590613548391,9.480824940223865,gp
926,56575.035,79.33213674135959,6.2478585281016095,gp
926,56575.863454545455,84.9287631703869,5.91576040012716,gp
926,56576.691909090914,90.73951522362199,6.199450728117091,gp
926,56577.520363636366,96.69464482803869,6.839872634466005,gp
926,56578.348818181825,102.72462039503648,7.660785638779382,gp
926,56579.17727272728,108.76003040960586,8.594253248708581,gp
926,56580.00572727273,114.74700594982664,9.604112973199332,gp
926,56580.83418181819,120.66573399397612,10.614943282041567,gp
926,56581.66263636364,126.50061369208242,11.564980064582993,gp
926,56582.4910909091,132.2356649969147,12.410311741213286,gp
926,56583.31954545455,137.85448148734395,13.120055377104368,gp
926,56584.148,143.3401823071465,13.672946977778246,gp
926,56584.97645454546,148.67536312638845,14.055177559761715,gp
926,56585.80490909091,153.84204603094258,14.259119113774863,gp
926,56586.63336363637,158.8216282455894,14.282678420958613,gp
926,56587.46181818182,163.59482959203342,14.129131912466253,gp
926,56588.290272727274,168.1416385823029,13.807386194452235,gp
926,56589.11872727273,172.4412570455986,13.332678764937825,gp
926,56589.947181818185,176.47204318317176,12.72778368226215,gp
926,56590.775636363636,180.21145294491225,12.02479528623163,gp
926,56591.604090909095,183.63597961699838,11.267443924953497,gp
926,56592.43254545455,186.72109150714618,10.513426081930024,gp
926,56593.261000000006,189.441167611933,9.834987441369202,gp
926,56594.08945454546,191.76943216640075,9.31373740846898,gp
926,56594.91790909091,193.6818118685228,8.995875233338413,gp
926,56595.74636363637,195.16576446326553,8.81401665324942,gp
926,56596.57481818182,196.21003849930275,8.67829429579675,gp
926,56597.40327272728,196.80203388502946,8.515556765025423,gp
926,56598.23172727273,196.9277698904084,8.279443325724104,gp
926,56599.06018181818,196.57185047136568,7.95393653596307,gp
926,56599.88863636364,195.71742685310164,7.555172191875607,gp
926,56600.71709090909,194.34615730449195,7.133697301260922,gp
926,56601.54554545455,192.4381640308345,6.774699515471242,gp
926,56602.374,189.97342590517928,6.5839490127531946,gp
926,56603.202454545455,186.98294628997837,6.577572923086793,gp
926,56604.030909090914,183.56273258433998,6.655042579087541,gp
926,56604.859363636366,179.81174579579215,6.729244558654336,gp
926,56605.687818181825,175.82787862628152,6.753456081460468,gp
926,56606.51627272728,171.7044954426715,6.723170708895537,gp
926,56607.34472727273,167.47212853933252,6.656797162570353,gp
926,56608.17318181819,163.10913245610755,6.596787633011058,gp
926,56609.00163636364,158.59173610610242,6.618726312683245,gp
926,56609.8300909091,153.91330455493676,6.788502017837802,gp
926,56610.65854545455,149.15028308819433,7.055108653979973,gp
926,56611.487,144.40333330578073,7.345935944112888,gp
926,56612.31545454546,139.77294105311057,7.620331820753195,gp
926,56613.14390909091,135.3596629207177,7.875084157567397,gp
926,56613.97236363637,131.26437619377452,8.141528012623992,gp
926,56614.80081818182,127.58852925997758,8.47685246124298,gp
926,56615.629272727274,124.42698986440519,8.941819934551747,gp
926,56616.45772727273,121.78531162109971,9.512999159055818,gp
926,56617.286181818185,119.60971449743852,10.112092952920383,gp
926,56618.114636363636,117.84626188991479,10.669853838233955,gp
926,56618.943090909095,116.44183901922338,11.13199940216033,gp
926,56619.77154545455,115.34402705928369,11.458829655575023,gp
926,56620.600000000006,114.50097842417904,11.623395437936916,gp
926,56621.42845454546,113.86129298836272,11.609932396779772,gp
926,56622.25690909091,113.37389501643611,11.413174081064044,gp
926,56623.08536363637,112.98791058014535,11.03884395877797,gp
926,56623.91381818182,112.6525452406836,10.505715300243015,gp
926,56624.74227272728,112.31696177497702,9.84992068268552,gp
926,56625.57072727273,111.930157724521,9.132435095105288,gp
926,56626.39918181818,111.44084254490645,8.449814597062069,gp
926,56627.22763636364,110.79731413353795,7.942975178288133,gp
926,56628.05609090909,109.94733451203206,7.784729114403714,gp
926,56628.88454545455,108.85200749500575,8.086479099900426,gp
926,56629.713,107.5274809339536,8.74379666363004,gp
926,56630.541454545455,106.00308209622926,9.59148739802857,gp
926,56631.369909090914,104.30749767603118,10.494164061395546,gp
926,56632.198363636366,102.46884539739972,11.357355941845688,gp
926,56633.026818181825,100.51474449136617,12.118963524093218,gp
926,56633.855272727276,98.47238517686128,12.739058804123166,gp
926,56634.68372727273,96.3685972727942,13.192659061762859,gp
926,56635.51218181819,94.2299180678333,13.465303692713986,gp
926,56636.34063636364,92.08265957236426,13.550523725167112,gp
926,56637.1690909091,89.95297527664889,13.448515000671971,gp
926,56637.99754545455,87.86692653839509,13.165612604724082,gp
926,56638.826,85.8505487216089,12.714365853389689,gp
926,56639.65445454546,83.92991720878638,12.114138542674599,gp
926,56640.48290909091,82.13121340823011,11.392220601789193,gp
926,56641.31136363637,80.4807908775465,10.585401631151363,gp
926,56642.13981818182,79.00524063474285,9.741683423568881,gp
926,56642.968272727274,77.72961417899802,8.912627421256007,gp
926,56643.79672727273,76.67369104435153,8.136817571892308,gp
926,56644.625181818185,75.85659460294391,7.46455689775901,gp
926,56645.453636363636,75.2967177502797,6.958945066583475,gp
926,56646.282090909095,74.96450071349057,6.622329911575151,gp
926,56647.11054545455,74.76670640962607,6.3777621295861024,gp
926,56647.939000000006,74.6059101815433,6.172456776229411,gp
926,56648.76745454546,74.3846675303968,6.004867616136517,gp
926,56649.59590909091,74.00527869712369,5.929036719592183,gp
926,56650.42436363637,73.37165811800725,6.033185767673956,gp
926,56651.25281818182,72.45079569900435,6.308356071895843,gp
926,56652.08127272728,71.28260044387952,6.633041059134195,gp
926,56652.90972727273,69.91037972830742,6.914891177542145,gp
926,56653.73818181818,68.37684330428146,7.113824559867643,gp
926,56654.56663636364,66.72420859291873,7.246233954008794,gp
926,56655.39509090909,64.99430502266762,7.389180742032735,gp
926,56656.22354545455,63.228677603177516,7.68030593532984,gp
926,56657.052,61.468689924406306,8.29487740360178,gp
